"","car_specs","price","mileage","stringAsFactors"
"56","2016 Hyundai Sonata 2.4L Limited Sport Navi R.Starter Rear-Cam Leather","$13,990","121,081 km",FALSE
"57","2016 Chevrolet Cruze 1.4L LT FWD Remote-Starter RearCamera Multi-Media","$8,995","147,929 km",FALSE
"58","2016 Volkswagen Jetta Sedan Hybrid TSI One Owner With 50 service records","$10,900","205,000 km",FALSE
"59","2016 Toyota Sienna 5dr LE 8-Pass FWD","$21,998","170,500 km",FALSE
"60","2016 Mercedes-Benz Metris Passenger Van 7 PASSENGERS - DUAL CLIMATE CONTROL","$28,985","79,000 km",FALSE
"61","2016 Mercedes-Benz Metris Passenger Van 7 PASSENGERS - DUAL CLIMATE CONTROL","$28,985","79,000 km",FALSE
"62","2016 Kia Soul EX, Heated Seat, Camera","$12,990","99,579 km",FALSE
"63","2016 Honda Pilot 4WD 4dr EX-L w-Navi","$17,990","184,571 km",FALSE
"64","2021 Mercedes-Benz GLE GLE 350","$50,990","57,363 km",FALSE
"65","2016 Hyundai Tucson FWD 4dr 2.0L Premium","$14,900","129,500 km",FALSE
"66","2016 Volvo XC60 AWD 5dr T5 Special Edition Premier","$12,990","242,634 km",FALSE
"67","2016 Volkswagen Jetta Highline LEATHER H-SEATS! WE FINANCE ALL CREDIT!","$18,495","136,400 km",FALSE
"68","2016 Nissan ALTIMA SE-R","$13,750","105,000 km",FALSE
"69","2016 MINI Cooper Hardtop 3dr HB","$10,999","172,232 km",FALSE
"70","2016 Hyundai Tucson AWD 1.6L Premium PWR SEATS  WE FINANCE ALL CREDIT","$17,495","138,431 km",FALSE
"71","2016 Ford Edge 4dr SEL AWD","$11,999","177,500 km",FALSE
"72","2016 Chevrolet Tahoe 4WD**ONE Owner**O.P.P Unit*Financing Available**","$17,900","291,000 km",FALSE
"73","2016 Hyundai Sonata Hybrid AUTOMATIC / NO ACCIDENT / CERTIFIED","$13,999","114,000 km",FALSE
"74","2018 Toyota 4Runner SR5","$40,995","88,365 km",FALSE
"75","2016 Ford Explorer Limited 4WD 7passengers","$14,995","203,601 km",FALSE
"76","2016 Audi Q3 quattro 4dr 2.0T Technik","$14,995","161,860 km",FALSE
"77","2016 Ford Edge 4dr SE AWD","$13,995","166,320 km",FALSE
"78","2016 Ram 1500 2WD Reg Cab 120.5  Express","$13,999","222,768 km",FALSE
"79","2016 Honda Pilot 4WD 4dr EX-L","$17,999","189,608 km",FALSE
"80","2016 Land Rover Discovery Sport 4WD 4dr HSE","$15,995","152,903 km",FALSE
"81","2016 BMW X3 28I! HUB! CLEAN CARFAX! ALL DEALER SERVICE","$16,999","170,500 km",FALSE
"82","2016 Ford Fusion SE - ALLOY RIMS, BLUETOOTH, BACK UP CAMERA & MORE","$14,490","77,431 km",FALSE
"83","2016 Ram 1500 CERTIFIED, ONLY 78,000 km, 5.7L HEMI, POWER LIFTGA","$19,985","78,000 km",FALSE
"84","2023 Jeep Gladiator High AltitudeHIGH ALTITUDE  4X4  V6  NAV  HTD LEAT","$56,912","21,505 km",FALSE
"85","2016 Volkswagen Golf 1.8 TSI Trendline","$13,495","90,000 km",FALSE
"86","2016 Dodge Grand Caravan 4dr Wgn Canada Value Package","$9,990","214,961 km",FALSE
"87","2016 MINI Cooper 3dr Manual | Accident free | Certified |","$13,880","114,601 km",FALSE
"88","2016 Chevrolet Silverado 1500 LTZ z71 4WD Crew Cab 143.5 z| Accident Free | 1-Ow","$34,480","107,585 km",FALSE
"89","2016 Land Rover Range Rover Sport 4WD 4dr Td6 HSE","$28,995","103,000 km",FALSE
"90","2016 Porsche Cayenne AWD 4dr S","$24,995","172,000 km",FALSE
"91","2016 Dodge Grand Caravan Cargo","$6,998","180,000 km",FALSE
"92","2016 Ram 1500 4WD Crew Cab 140.5  SLT, Power Group","$21,980","208,000 km",FALSE
"93","2016 Jeep Cherokee 4WD 4dr Trailhawk, Leather, Navigation","$13,980","211,000 km",FALSE
"94","2021 Ford F-150 Lariat 4WD | Nav | Heat/Vent Seat | Trailer Assist","$46,429","99,383 km",FALSE
"95","2016 Jeep WRANGLER UNLIMITED 4WD 4dr Sahara, Power Group, Alloy Wheels","$18,980","236,000 km",FALSE
"96","2016 Nissan Pathfinder 4WD 4dr S","$12,999","177,000 km",FALSE
"97","2016 Porsche Macan AWD 4dr S","$26,500","99,500 km",FALSE
"98","2016 Ram 1500 SLT eco diesel","$20,499","135,000 km",FALSE
"99","2016 Ram 1500 Crew Cab SLT","$17,000","284,000 km",FALSE
"100","2016 Dodge Grand Caravan 4dr Wgn SXT","$13,749","128,556 km",FALSE
"101","2016 Mazda Mazda3 TOURING | MANUAL | SKYACTIV","$18,495","47,469 km",FALSE
"102","2016 Hyundai Santa Fe Sport FWD 4dr 2.4L","$11,500","171,000 km",FALSE
"103","2016 Volkswagen Jetta Sedan 4dr Auto 1.8T Sport PZEV","$8,000","171,000 km",FALSE
"104","2021 Mercedes-Benz GLC300 4MATIC HEATED STEERING WHEEL/NAVIGATION","$43,710","39,235 km",FALSE
"105","2016 Nissan Versa Note 5dr HB Man 1.6 S","$6,495","169,000 km",FALSE
"106","2016 Ford Escape NO ACCIDENT,REAR CAMERA,HEATED SEATS,CERTIFIED","$10,990","162,000 km",FALSE
"107","2016 Nissan Rogue S","$9,499","219,543 km",FALSE
"108","2016 BMW 3 Series 4dr Sdn 340i xDrive AWD","$27,995","137,000 km",FALSE
"109","2016 Volkswagen Golf 5dr HB Man 1.8 TSI Comfortline","$13,000","160,000 km",FALSE
"110","2016 Chevrolet Cruze 4dr Sdn LT w-1LT","$6,500","143,847 km",FALSE
"111","2016 Cadillac Escalade 4WD 4dr Premium Collection","$31,900","181,927 km",FALSE
"112","2016 Chevrolet Malibu 4dr Sdn LTZ","$5,900","279,000 km",FALSE
"113","2016 Subaru Crosstrek 5dr Man 2.0i w-Sport Pkg","$11,000","225,000 km",FALSE
"114","2024 Audi Q5 Komfort 45 TFSI quattro 7sp S Tronic","$49,888","11,059 km",FALSE
"115","2016 Audi A3 4dr Sdn FrontTrak 1.8T Komfort","$10,000","175,000 km",FALSE
"116","2016 Volkswagen Jetta Sedan","$10,300","203,000 km",FALSE
"117","2016 Audi A4 4dr Sdn Auto quattro","$15,880","134,912 km",FALSE
"118","2016 Audi A5 2dr Cpe Auto Technik plus","$17,000","175,000 km",FALSE
"119","2016 Honda HR-V 2WD 4dr CVT EX","$16,000","120,000 km",FALSE
"120","2016 Kia Rio 4dr Sdn Auto EX","$10,500","95,908 km",FALSE
"121","2019 Ford Escape Titanium - 4WD Certified | Navigation | Clean Carf","$22,188","82,000 km",FALSE
"122","2017 Subaru Impreza TOURING ~AUTOMATIC, FULLY CERTIFIED WITH WARRANTY!","$4,990","395,368 km",FALSE
"123","2017 Dodge Grand Caravan SE 7-Passenger / REMOTE STARTER / CLEAN CARFAX","$17,888","101,035 km",FALSE
"124","2018 Chevrolet Cruze LT Auto 4dr Hatchback Automatic","$15,888","86,160 km",FALSE
"125","2020 Mercedes-Benz AMG GT 63 S Coupe / 630HP / AMG Night Pkg / Carbon Fibre","$135,888","41,000 km",FALSE
"126","2021 Jeep Gladiator Rubicon 4x4 GLADIATOR*NAV**LTHR*H/SEATS**31,000 KM","$49,900","31,780 km",FALSE
"127","2021 Lexus NX 300 APPLE CARPLAY ANDRIOD AUTO/LEATHER/*NEW BRAKES*CLE","$36,468","32,454 km",FALSE
"128","2022 Toyota Tacoma SR5 PKG | ACCIDENT FREE | CARPLAY/AUTO | CERTIFIED","$47,588","53,155 km",FALSE
"129","2023 Acura RDX A-Spec | Low KM | 7 Year Warranty","$46,288","26,213 km",FALSE
"130","2016 BMW i3 4dr HB w/Range Extender","$17,500","86,900 km",FALSE
"131","2016 Toyota Highlander AWD 4dr XLE","$21,995","206,672 km",FALSE
"132","2016 Chevrolet Cruze LT 2 LEATHER ROOF ALLOYS POWER GROUP $ 7,688.00","$7,688","190,000 km",FALSE
"133","2016 Toyota Corolla 4dr Sdn Man S","$13,000","132,000 km",FALSE
"134","2023 Infiniti QX60 PURE AWD ACCIDENT FREE PANO ROOF INFINITI CPO 10Ks","$45,798","10,204 km",FALSE
"135","2016 Honda Odyssey 4dr Wgn EX-L w/RES","$20,000","148,289 km",FALSE
"136","2016 Toyota Tacoma 4WD Access Cab V6 Auto SR5","$39,500","58,766 km",FALSE
"137","2016 Chevrolet Corvette 2dr Stingray Conv w/2LT","$69,000","18,000 km",FALSE
"138","2016 Chevrolet Cruze 4dr Sdn LT w-1LT","$7,500","99,000 km",FALSE
"139","2016 BMW 435i xDrive","$28,500","101,343 km",FALSE
"140","2016 Dodge Viper 2dr Cpe GTC","$209,999","17,500 km",FALSE
"141","2016 Acura TLX 4dr Sdn SH-AWD V6 Tech","$18,000","160,000 km",FALSE
"142","2016 Ford Edge SEL NO ACCIDENTS","$14,588","178,874 km",FALSE
"143","2016 Kia Forte 5-Door 5dr HB Auto LX+","$6,000","200,100 km",FALSE
"144","2022 Ford Bronco Sport Big Bend 4x4 APPLE CARPLAY, camera, ford assist","$28,599","52,840 km",FALSE
"145","2016 Jeep JK WRANGLER Unlimited","$29,500","170,000 km",FALSE
"146","2016 Toyota Corolla 4dr Sdn CVT LE","$13,000","170,000 km",FALSE
"147","2016 Honda Accord Sedan 4dr I4 CVT LX w/Honda Sensing","$16,999","211,450 km",FALSE
"148","2016 BMW 5 Series 528i xDrive H.Up Display/Camera/ Loaded!","$17,990","144,740 km",FALSE
"149","2016 Jeep Cherokee FWD 4dr Limited","$18,500","99,000 km",FALSE
"150","2016 Dodge Journey AWD 4dr R-T","$17,000","96,000 km",FALSE
"151","2016 BMW X1 AWD 4dr xDrive28i","$16,000","139,958 km",FALSE
"152","2016 Jeep Wrangler Sport","$24,999","120,000 km",FALSE
"153","2016 Honda Accord Coupe 2dr I4 Man EX","$21,000","215,000 km",FALSE
"154","2022 Audi S5 Sportback Progressiv 3.0 TFSI quattro carbon fiber","$51,999","73,676 km",FALSE
"155","2016 Infiniti QX60 AWD","$14,995","189,000 km",FALSE
"156","2016 Audi A4 2.0T Premium 4dr All-Wheel Drive quattro Sedan Aut","$13,995","127,950 km",FALSE
"157","2016 Ram 1500 Laramie 4x4 Crew Cab 149 in. WB Automatic","$24,495","156,700 km",FALSE
"158","2016 Ford Explorer AWD! 7 PASSENGER! XLT! WE FINANCE!","$15,499","182,721 km",FALSE
"159","2016 Ram 2500 DIESEL!CREW CAB!SHORT BOX!SLT!WE FINANCE!","$33,999","195,671 km",FALSE
"160","2016 Mitsubishi RVR SE Limited Edition","$10,995","171,000 km",FALSE
"161","2016 Ford Edge 4dr Titanium AWD","$16,498","132,000 km",FALSE
"162","2016 BMW X1 AWD 4dr xDrive28i","$18,500","78,000 km",FALSE
"163","2016 Dodge RAM 1500 PICKUP","$21,000","130,000 km",FALSE
"164","2021 Ford Mustang Mach-E Premium - Ford Co-Pilot 360 | Moonroof | Nav | Hea","$36,030","59,922 km",FALSE
"165","2016 BMW X3 AWD 4dr xDrive28i","$20,000","130,000 km",FALSE
"166","2016 Audi A6 4dr Sdn quattro 3.0T Technik","$21,999","121,000 km",FALSE
"167","2016 Honda Fit","$21,000","97,000 km",FALSE
"168","2016 McLaren 570S MSO CARBON - VOLCANO YELLOW","$164,786","41,786 km",FALSE
"169","2016 Subaru Impreza 5dr HB 2.0i w-Touring Pkg CERTIFIED","$13,880","125,950 km",FALSE
"170","2016 Ram 1500 4WD Crew Cab 140.5"" ST","$16,995","156,310 km",FALSE
"171","2016 Volkswagen Golf TSI","$12,999","142,000 km",FALSE
"172","2016 Honda Pilot 4WD 4dr Touring","$20,500","170,523 km",FALSE
"173","2016 Hyundai Elantra GT 5dr HB Auto GL","$7,500","236,000 km",FALSE
"174","2022 Ford Maverick XLT All-Wheel Drive SuperCrew 4.5 ft. box 121.1 in","$35,377","21,495 km",FALSE
"175","2016 Dodge Durango AWD 4dr Limited","$17,750","215,000 km",FALSE
"176","2016 Chrysler 200 LIMITED| BACKUP CAM| BLUETOOTH| HTD STEERING| HTD+","$12,999","102,850 km",FALSE
"177","2016 Hyundai Elantra GT *5 YEAR OR 160,000KM ENGINE AND TRANSMISSION WARRA","$13,900","105,214 km",FALSE
"178","2016 Ford Focus Titanium","$10,995","140,340 km",FALSE
"179","2016 Mercedes-Benz C-Class C300, SUNROOF, ALLOYS, LEATHER SEATS","$20,880","118,939 km",FALSE
"180","2016 Volkswagen Jetta 4dr 1.4 TSI Auto Trendline","$14,000","162,624 km",FALSE
"181","2016 Kia Forte 4dr Sdn Auto LX+ w-Sunroof","$5,900","249,600 km",FALSE
"182","2016 Toyota Corolla 4dr Sdn CVT LE","$13,700","183,000 km",FALSE
"183","2016 Infiniti Q50 4dr Sdn 3.0t","$15,199","160,000 km",FALSE
"184","2024 Volkswagen Golf R | CERTIFIED PRE-OWNED | ONE OWNER | CLEAN CARFAX |","$47,290","19,676 km",FALSE
"185","2016 Kia Sorento SX+, AWD,  7Pass, Call 416 398 5959, Warranty avai","$12,900","235,000 km",FALSE
"186","2016 Volkswagen Golf GTI 5dr HB Man Autobahn","$18,000","91,000 km",FALSE
"187","2016 Nissan Rogue AWD 4dr SL","$9,500","126,000 km",FALSE
"188","2016 Dodge Grand Caravan 4dr Wgn SXT","$10,000","182,000 km",FALSE
"189","2016 Volkswagen Passat 4dr Sdn 1.8 TSI Auto Trendline","$9,500","198,000 km",FALSE
"190","2016 Lamborghini Aventador Roadster LP 700","$440,000","22,750 km",FALSE
"191","2016 Cadillac Escalade ESV 4WD 4dr Platinum","$32,000","260,467 km",FALSE
"192","2016 Hyundai Santa Fe Sport AWD 4dr 2.4L Premium","$16,500","164,000 km",FALSE
"193","2016 Toyota Corolla 4dr Sdn Auto CE","$13,888","181,223 km",FALSE
"194","2021 Toyota RAV4 Hybrid XSE AWD | Leather | Sunroof | Alloys","$39,990","91,629 km",FALSE
"195","2016 Porsche Cayenne AWD 4dr Turbo","$59,000","114,000 km",FALSE
"196","2016 Mercedes-Benz GLE-Class 450 AMG","$28,950","144,999 km",FALSE
"197","2016 Chrysler 200 4dr Sdn Limited FWD","$11,000","136,000 km",FALSE
"198","2016 Hyundai Santa Fe XL AWD 4dr 3.3L Auto Premium","$17,999","119,800 km",FALSE
"199","2016 Mercedes-Benz SLK 2dr Roadster SLK 300","$35,000","80,800 km",FALSE
"200","2016 Hyundai Elantra 4dr Sdn Man L","$7,500","138,000 km",FALSE
"201","2016 BMW 5 Series 4dr Sdn 528i xDrive AWD","$21,500","97,000 km",FALSE
"202","2016 BMW 3 Series 4dr Sdn 320i xDrive AWD","$14,950","136,878 km",FALSE
"203","2016 Jeep Patriot 4WD 4dr High Altitude","$9,900","211,000 km",FALSE
"204","2020 Audi Q5 Progressiv quattro TITANIUM PREMIUM PLUS black opt","$28,999","114,997 km",FALSE
"205","2016 Chevrolet Silverado 1500 4WD Double Cab 143.5  Custom","$25,000","156,000 km",FALSE
"206","2016 Toyota Tacoma 4WD Double Cab V6 Auto SR5 TRD Sport","$29,998","211,704 km",FALSE
"207","2016 Chevrolet Cruze 4dr Sdn Auto Premier","$8,500","209,400 km",FALSE
"208","2016 Dodge Grand Caravan 4dr Wgn Canada Value Package","$11,000","163,000 km",FALSE
"209","2016 BMW 3 Series 4dr Sdn 328i xDrive AWD","$17,500","138,769 km",FALSE
"210","2016 Toyota Sienna 5dr SE 8-Pass FWD","$27,000","103,500 km",FALSE
"211","2016 Porsche Panamera 4dr HB GTS","$69,000","37,664 km",FALSE
"212","2016 Honda HR-V 2016 HONDA HR-V | LX | AWD | SUV | HEATED SEATS","$19,998","63,800 km",FALSE
"213","2016 Mercedes-Benz G-Class G 65 V12","$198,888","66,310 km",FALSE
"214","2024 Jeep Wrangler RUBICON X | LOW KM | ONE OWNER","$64,995","20,500 km",FALSE
"215","2016 Chevrolet Equinox AWD 4dr LTZ","$15,999","132,942 km",FALSE
"216","2016 Dodge Caravan CVP wagan","$7,100","259,463 km",FALSE
"217","2016 Honda Pilot 4WD 4dr Touring","$28,000","123,524 km",FALSE
"218","2016 Mitsubishi Lancer SE LTD","$7,999","204,559 km",FALSE
"219","2016 Nissan Frontier 4WD CREW CAB..LOW MILEAGE..NO ACCIDENTS..CERTIFIED","$23,800","86,000 km",FALSE
"220","2016 Chevrolet Corvette 2dr Stingray Cpe w/3LT","$69,400","39,700 km",FALSE
"221","2016 Hyundai Elantra 4dr Sdn Auto GL","$6,500","30 km",FALSE
"222","2016 Volkswagen Golf 5dr HB Auto 1.8 TSI Highline","$15,900","78,000 km",FALSE
"223","2016 Dodge Journey FWD 4dr SXT","$14,999","53,500 km",FALSE
"224","2016 Chevrolet Equinox Remote Start, One Owner, Only 75,000 Kms!","$14,876","75,632 km",FALSE
"225","2016 Nissan Rogue AWD 4dr SL","$17,995","82,000 km",FALSE
"226","2016 Toyota Corolla 4dr Sdn CVT LE","$13,500","173,000 km",FALSE
"227","2016 Dodge Charger 4dr Sdn R/T Scat Pack RWD","$34,000","43,109 km",FALSE
"228","2016 Honda Civic Sedan 4dr CVT EX","$8,295","506,958 km",FALSE
"229","2016 Land Rover Range Rover Sport 4WD 4dr Td6 HSE","$24,990","160,000 km",FALSE
"230","2016 Chevrolet Tahoe 4WD**ONE Owner**O.P.P Unit*Financing Available**","$16,900","289,000 km",FALSE
"231","2016 Subaru Forester 5dr Wgn CVT 2.5i Touring","$9,900","254,300 km",FALSE
"232","2016 Dodge Journey SxT 7passengers","$9,499","137,000 km",FALSE
"233","2016 Honda Civic Touring","$15,250","184,000 km",FALSE
"234","2017 Maserati Ghibli S Q4 SPORT PKG+NAVI+REAR CAMERA+SUNROOF+H/K SOUND","$34,888","79,858 km",FALSE
"235","2016 Dodge RAM 1500 PICKUP SLT","$12,500","183,500 km",FALSE
"236","2016 Dodge Grand Caravan SXT CLEAN MUST SEE WE FINANCE ALL CREDIT APPLY NOW","$15,995","188,905 km",FALSE
"237","2016 Toyota RAV4 LE","$18,450","144,128 km",FALSE
"238","2016 BMW 320i xDrive","$10,000","200,000 km",FALSE
"239","2016 Chevrolet SILVERADO 2500HD 4WD Crew Cab 167  High Country","$30,000","264,715 km",FALSE
"240","2016 Lexus IS 350 4dr Sdn AWD","$29,900","104,937 km",FALSE
"241","2018 Toyota Tacoma TRD SPORT WITH THE UPGRADE PACKAGE 4X4 V6","$30,683","192,842 km",FALSE
"242","2017 Toyota Sienna 7 Passenger","$30,498","121,564 km",FALSE
"243","2018 Audi RS 3 Quattro 2.5T AMAZING Condition","$39,995","131,913 km",FALSE
"244","2019 Mazda CX-5 GS | AUTO | AWD | CARPLAY | BLIND SPOT | B\U CAM","$25,950","66,908 km",FALSE
"245","2020 Tesla Model 3 Standard Range Plus RWD","$28,980","82,064 km",FALSE
"246","2021 Mazda CX-9 GT AWD+++ LUXURY SUV ++ ACCIDENT FREE","$32,995","76,108 km",FALSE
"247","2021 Acura TLX SH-AWD Tech BLUETOOTH| BACK UP CAM| PARK ASSIST|","$30,288","77,078 km",FALSE
"248","2021 Mazda Mazda3 *NEW BRAKES*NO ACCIDENTS*NAVIGATION*","$25,795","99,973 km",FALSE
"249","2023 Dodge Charger GT AWD | CarPlay | NAV | Alpine | Blacktop | PLUS","$44,988","21,514 km",FALSE
"250","2016 Chevrolet Equinox AWD 4dr LT","$5,500","224,000 km",FALSE
"251","2016 BMW 5 Series 4dr Sdn 528i xDrive AWD","$17,500","165,118 km",FALSE
"252","2016 Hyundai Sonata 4dr Sdn 2.4L Auto GL","$16,500","126,950 km",FALSE
"253","2016 Subaru BRZ 2dr Cpe Auto","$14,000","131,500 km",FALSE
"254","2023 Mazda CX-5 GT AWD","$34,488","22,060 km",FALSE
"255","2016 Land Rover Range Rover Sport 4WD 4dr V8 Supercharged","$46,000","112,000 km",FALSE
"256","2016 Hyundai Sonata Hybrid 4dr Sdn Ultimate","$14,500","146,539 km",FALSE
"257","2016 Toyota Corolla 4dr Sdn CVT LE","$24,599","25,071 km",FALSE
"258","2016 Volkswagen Golf 5dr HB Auto 1.8 TSI Trendline","$12,800","132,500 km",FALSE
"259","2016 Nissan Sentra 4dr Sdn CVT SV","$11,750","140,000 km",FALSE
"260","2016 Tesla Model S 70D","$19,999","150,000 km",FALSE
"261","2016 Audi S3 4dr Sdn quattro 2.0T Technik","$23,000","109,000 km",FALSE
"262","2016 Land Rover Range Rover 4WD 4dr SC Autobiography LWB","$69,000","46,000 km",FALSE
"263","2016 Honda Fit 5dr HB CVT LX","$20,900","98,910 km",FALSE
"264","2019 Ford Edge SEL - 2.0L Leather, Navigation, Panoramic Roof, He","$24,995","82,350 km",FALSE
"265","2016 Mitsubishi Lancer SE FWD AUTO * CERTIFIED *","$10,990","117,000 km",FALSE
"266","2016 Porsche Macan AWD 4dr Turbo","$52,500","42,073 km",FALSE
"267","2016 Audi S4 4dr Sdn Auto Progressiv plus","$16,500","194,000 km",FALSE
"268","2016 Hyundai Elantra GT 5dr HB Auto GL","$13,000","102,000 km",FALSE
"269","2016 Hyundai Genesis Coupe 2dr V6 Auto Premium","$16,800","123,000 km",FALSE
"270","2016 BMW 435i xDrive GranCoupe","$30,000","136,000 km",FALSE
"271","2016 Honda Civic","$20,000","180 km",FALSE
"272","2016 Infiniti QX70 AWD 4dr Sport","$12,000","116,000 km",FALSE
"273","2016 Ford Mustang 2dr Fastback EcoBoost Premium","$33,000","72,000 km",FALSE
"274","2016 Chevrolet Trax LT AWD|BOSE|ALLOYS|BACKUPCAM|TOUCHSCREEN|+++","$6,998","200,603 km",FALSE
"275","2016 Hyundai Elantra 4dr Sdn Auto L+","$9,000","86,500 km",FALSE
"276","2016 Honda HR-V 2WD 4dr CVT EX","$12,999","223,000 km",FALSE
"277","2016 GMC 1500 SILVERADO","$6,000","338,000 km",FALSE
"278","2016 Nissan Sentra Bluetooth Alloys Cruise Control","$8,980","154,648 km",FALSE
"279","2016 Audi SQ5 quattro 4dr 3.0T Progressiv","$18,000","165,555 km",FALSE
"280","2016 Jeep Cherokee North edition | PANAROMIC SUNROOF | NAVIGATION","$12,880","121,097 km",FALSE
"281","2016 Land Rover Range Rover Sport 4WD 4dr Td6 HSE","$25,000","102,056 km",FALSE
"282","2016 Lexus NX 200t AWD 4dr","$25,499","150,000 km",FALSE
"283","2016 Mercedes-Benz CLS Cls550 amg","$25,999","110,000 km",FALSE
